InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category,Discount,TotalAmount
INV001989,P0008,咖啡豆,1,2023-01-03 00:00:00,65.95,C00202,China,食品饮料,0,65.95
INV002061,P0014,沙发,2,2023-01-03 00:00:00,2086.87,C00210,China,家居家装,0,4173.74
INV002062,P0013,床上四件套,1,2023-01-03 00:00:00,300.35,C00210,China,家居家装,0,300.35
INV002063,P0007,背包,3,2023-01-03 00:00:00,159.27,C00210,China,服装鞋帽,0,477.82
INV002408,P0009,坚果礼盒,3,2023-01-03 00:00:00,60.52,C00246,China,食品饮料,0,181.57
INV000921,P0008,咖啡豆,4,2023-01-04 00:00:00,112.65,C00089,China,食品饮料,7.91,442.69
INV000922,P0002,无线耳机,2,2023-01-04 00:00:00,717.06,C00089,China,电子产品,0,1434.12
INV000923,P0012,台灯,2,2023-01-04 00:00:00,193.14,C00089,China,家居家装,0,386.27
INV000924,P0016,Python编程书,2,2023-01-04 00:00:00,101.3,C00089,China,图书音像,11.6,190.99
INV000977,P0013,床上四件套,2,2023-01-04 00:00:00,288.7,C00099,China,家居家装,43.06,534.33
INV001997,P0008,咖啡豆,3,2023-01-04 00:00:00,54.88,C00204,China,食品饮料,0,164.63
INV002065,P0011,巧克力,2,2023-01-04 00:00:00,39.29,C00211,China,食品饮料,0,78.58
INV002066,P0017,商业分析书,4,2023-01-04 00:00:00,55.08,C00211,China,图书音像,9.37,210.95
INV001088,P0004,男士衬衫,4,2023-01-05 00:00:00,296.82,C00119,China,服装鞋帽,0,1187.29
INV001783,P0010,茶叶,4,2023-01-05 00:00:00,91.04,C00183,China,食品饮料,0,364.17
INV001784,P0015,餐具套装,2,2023-01-05 00:00:00,202.16,C00183,China,家居家装,16.58,387.74
INV001785,P0006,运动鞋,1,2023-01-05 00:00:00,407.91,C00183,China,服装鞋帽,0,407.91
INV002004,P0006,运动鞋,3,2023-01-05 00:00:00,1066.03,C00205,China,服装鞋帽,0,3198.1
INV002005,P0010,茶叶,1,2023-01-05 00:00:00,273.03,C00205,China,食品饮料,0,273.03
INV000288,P0002,无线耳机,3,2023-01-06 00:00:00,319.82,C00028,China,电子产品,0,959.45
INV000289,P0013,床上四件套,3,2023-01-06 00:00:00,222.47,C00028,China,家居家装,0,667.41
INV000290,P0005,女士连衣裙,4,2023-01-06 00:00:00,216.0,C00028,China,服装鞋帽,0,863.99
INV000291,P0009,坚果礼盒,4,2023-01-06 00:00:00,67.97,C00028,China,食品饮料,0,271.89
INV001370,P0001,笔记本电脑,4,2023-01-06 00:00:00,10408.41,C00150,China,电子产品,0,41633.63
INV001821,P0000,手机,2,2023-01-06 00:00:00,8777.7,C00187,China,电子产品,0,17555.4
INV001822,P0004,男士衬衫,3,2023-01-06 00:00:00,649.94,C00187,China,服装鞋帽,0,1949.83
INV001823,P0014,沙发,4,2023-01-06 00:00:00,7319.74,C00187,China,家居家装,0,29278.97
INV001824,P0011,巧克力,3,2023-01-06 00:00:00,146.44,C00187,China,食品饮料,7.83,431.5
INV002076,P0013,床上四件套,3,2023-01-06 00:00:00,233.58,C00213,China,家居家装,0,700.74
INV002077,P0017,商业分析书,2,2023-01-06 00:00:00,56.78,C00213,China,图书音像,0,113.56
INV002789,P0001,笔记本电脑,3,2023-01-06 00:00:00,9028.91,C00294,China,电子产品,0,27086.72
INV002790,P0008,咖啡豆,1,2023-01-06 00:00:00,114.17,C00294,China,食品饮料,0,114.17
INV001024,P0010,茶叶,2,2023-01-07 00:00:00,143.5,C00109,China,食品饮料,0,287.01
INV001025,P0015,餐具套装,1,2023-01-07 00:00:00,266.82,C00109,China,家居家装,0,266.82
INV001026,P0001,笔记本电脑,4,2023-01-07 00:00:00,5977.36,C00109,China,电子产品,0,23909.45
INV001027,P0002,无线耳机,4,2023-01-07 00:00:00,477.44,C00109,China,电子产品,0,1909.77
INV001075,P0002,无线耳机,1,2023-01-07 00:00:00,434.17,C00115,China,电子产品,50.75,383.42
INV001476,P0002,无线耳机,3,2023-01-07 00:00:00,422.98,C00158,China,电子产品,33.63,1235.31
INV001943,P0015,餐具套装,4,2023-01-07 00:00:00,501.56,C00199,China,家居家装,83.14,1923.09
INV002032,P0009,坚果礼盒,3,2023-01-07 00:00:00,91.93,C00206,China,食品饮料,0,275.8
INV002033,P0015,餐具套装,4,2023-01-07 00:00:00,224.19,C00206,China,家居家装,0,896.74
INV002095,P0010,茶叶,2,2023-01-07 00:00:00,136.44,C00216,China,食品饮料,0,272.87
INV002096,P0003,移动电源,2,2023-01-07 00:00:00,181.16,C00216,China,电子产品,14.29,348.03
INV002097,P0001,笔记本电脑,3,2023-01-07 00:00:00,6997.29,C00216,China,电子产品,0,20991.88
INV002098,P0014,沙发,3,2023-01-07 00:00:00,2742.73,C00216,China,家居家装,0,8228.19
INV002467,P0004,男士衬衫,4,2023-01-07 00:00:00,276.96,C00255,China,服装鞋帽,0,1107.84
INV002468,P0005,女士连衣裙,4,2023-01-07 00:00:00,372.78,C00255,China,服装鞋帽,0,1491.11
INV002515,P0010,茶叶,4,2023-01-07 00:00:00,84.13,C00261,China,食品饮料,10.75,325.75
INV000223,P0018,蓝牙音箱,3,2023-01-08 00:00:00,164.06,C00022,China,电子产品,0,492.17
INV000224,P0015,餐具套装,1,2023-01-08 00:00:00,162.69,C00022,China,家居家装,0,162.69
INV000225,P0016,Python编程书,2,2023-01-08 00:00:00,56.59,C00022,China,图书音像,0,113.18
INV000786,P0015,餐具套装,2,2023-01-08 00:00:00,210.3,C00078,China,家居家装,0,420.6
INV000967,P0003,移动电源,4,2023-01-08 00:00:00,146.21,C00096,China,电子产品,22.82,562.0
INV001880,P0003,移动电源,1,2023-01-08 00:00:00,252.99,C00192,China,电子产品,32.84,220.14
INV001881,P0001,笔记本电脑,3,2023-01-08 00:00:00,8286.28,C00192,China,电子产品,0,24858.85
INV000199,P0016,Python编程书,4,2023-01-09 00:00:00,92.61,C00020,China,图书音像,0,370.44
INV000200,P0003,移动电源,1,2023-01-09 00:00:00,194.28,C00020,China,电子产品,27.64,166.64
INV000201,P0002,无线耳机,3,2023-01-09 00:00:00,585.51,C00020,China,电子产品,0,1756.54
INV000202,P0015,餐具套装,1,2023-01-09 00:00:00,324.13,C00020,China,家居家装,0,324.13
INV001589,P0002,无线耳机,3,2023-01-09 00:00:00,313.71,C00167,China,电子产品,0,941.13
INV001590,P0010,茶叶,4,2023-01-09 00:00:00,88.0,C00167,China,食品饮料,0,352.0
INV001591,P0007,背包,4,2023-01-09 00:00:00,141.94,C00167,China,服装鞋帽,9.56,558.21
INV001592,P0019,智能手表,1,2023-01-09 00:00:00,643.26,C00167,China,电子产品,0,643.26
INV002302,P0001,笔记本电脑,3,2023-01-09 00:00:00,4696.33,C00236,China,电子产品,0,14088.99
INV002303,P0019,智能手表,4,2023-01-09 00:00:00,795.81,C00236,China,电子产品,0,3183.25
INV002304,P0006,运动鞋,2,2023-01-09 00:00:00,411.7,C00236,China,服装鞋帽,0,823.4
INV002305,P0009,坚果礼盒,2,2023-01-09 00:00:00,82.29,C00236,China,食品饮料,0,164.58
INV002452,P0006,运动鞋,4,2023-01-09 00:00:00,473.19,C00253,China,服装鞋帽,0,1892.77
INV002453,P0012,台灯,4,2023-01-09 00:00:00,125.68,C00253,China,家居家装,0,502.72
INV002454,P0013,床上四件套,4,2023-01-09 00:00:00,294.39,C00253,China,家居家装,0,1177.56
INV001218,P0012,台灯,3,2023-01-10 00:00:00,104.11,C00135,China,家居家装,0,312.34
INV001219,P0003,移动电源,1,2023-01-10 00:00:00,122.46,C00135,China,电子产品,18.03,104.43
INV001220,P0013,床上四件套,1,2023-01-10 00:00:00,257.38,C00135,China,家居家装,24.64,232.74
INV001924,P0004,男士衬衫,3,2023-01-10 00:00:00,175.25,C00195,China,服装鞋帽,0,525.76
INV001925,P0007,背包,4,2023-01-10 00:00:00,143.28,C00195,China,服装鞋帽,8.61,564.5
INV001926,P0019,智能手表,2,2023-01-10 00:00:00,744.55,C00195,China,电子产品,48.05,1441.06
INV001927,P0009,坚果礼盒,2,2023-01-10 00:00:00,66.69,C00195,China,食品饮料,8.39,124.99
INV002508,P0013,床上四件套,4,2023-01-10 00:00:00,278.47,C00260,China,家居家装,0,1113.88
INV002509,P0000,手机,4,2023-01-10 00:00:00,2473.7,C00260,China,电子产品,0,9894.81
INV002510,P0004,男士衬衫,2,2023-01-10 00:00:00,176.8,C00260,China,服装鞋帽,0,353.59
INV002511,P0010,茶叶,2,2023-01-10 00:00:00,92.88,C00260,China,食品饮料,0,185.76
INV002682,P0007,背包,3,2023-01-10 00:00:00,191.21,C00279,China,服装鞋帽,0,573.64
INV002683,P0000,手机,1,2023-01-10 00:00:00,2867.66,C00279,China,电子产品,0,2867.66
INV000367,P0016,Python编程书,3,2023-01-11 00:00:00,200.12,C00038,China,图书音像,14.02,586.33
INV000368,P0009,坚果礼盒,2,2023-01-11 00:00:00,281.0,C00038,China,食品饮料,0,562.0
INV000369,P0003,移动电源,3,2023-01-11 00:00:00,430.06,C00038,China,电子产品,0,1290.17
INV000370,P0018,蓝牙音箱,4,2023-01-11 00:00:00,691.06,C00038,China,电子产品,0,2764.23
INV000652,P0015,餐具套装,2,2023-01-11 00:00:00,222.77,C00064,China,家居家装,0,445.53
INV000653,P0002,无线耳机,4,2023-01-11 00:00:00,430.09,C00064,China,电子产品,0,1720.37
INV000675,P0011,巧克力,1,2023-01-11 00:00:00,167.77,C00066,China,食品饮料,0,167.77
INV000676,P0014,沙发,1,2023-01-11 00:00:00,7334.11,C00066,China,家居家装,0,7334.11
INV000677,P0008,咖啡豆,3,2023-01-11 00:00:00,236.97,C00066,China,食品饮料,0,710.9
INV000764,P0018,蓝牙音箱,2,2023-01-11 00:00:00,169.74,C00076,China,电子产品,0,339.48
INV000765,P0019,智能手表,3,2023-01-11 00:00:00,639.47,C00076,China,电子产品,0,1918.42
INV000968,P0017,商业分析书,3,2023-01-11 00:00:00,68.57,C00097,China,图书音像,0,205.7
INV000969,P0012,台灯,2,2023-01-11 00:00:00,101.35,C00097,China,家居家装,16.76,185.94
INV000970,P0001,笔记本电脑,1,2023-01-11 00:00:00,4707.71,C00097,China,电子产品,0,4707.71
INV000971,P0005,女士连衣裙,4,2023-01-11 00:00:00,261.24,C00097,China,服装鞋帽,48.27,996.7
INV001149,P0003,移动电源,4,2023-01-11 00:00:00,246.99,C00127,China,电子产品,0,987.97
INV001150,P0000,手机,3,2023-01-11 00:00:00,4386.42,C00127,China,电子产品,0,13159.26
INV001151,P0012,台灯,3,2023-01-11 00:00:00,192.8,C00127,China,家居家装,35.55,542.86
INV001346,P0006,运动鞋,3,2023-01-11 00:00:00,363.87,C00145,China,服装鞋帽,42.29,1049.31
INV001560,P0008,咖啡豆,3,2023-01-11 00:00:00,71.07,C00165,China,食品饮料,0,213.2
INV001561,P0009,坚果礼盒,1,2023-01-11 00:00:00,90.71,C00165,China,食品饮料,0,90.71
INV001562,P0016,Python编程书,3,2023-01-11 00:00:00,72.16,C00165,China,图书音像,5.88,210.59
INV001563,P0012,台灯,4,2023-01-11 00:00:00,126.11,C00165,China,家居家装,9.49,494.96
INV001888,P0019,智能手表,3,2023-01-11 00:00:00,4009.86,C00193,China,电子产品,0,12029.59
INV002730,P0010,茶叶,1,2023-01-11 00:00:00,150.31,C00286,China,食品饮料,0,150.31
INV002731,P0003,移动电源,2,2023-01-11 00:00:00,181.32,C00286,China,电子产品,0,362.63
INV002732,P0001,笔记本电脑,4,2023-01-11 00:00:00,5554.84,C00286,China,电子产品,0,22219.35
INV001543,P0009,坚果礼盒,4,2023-01-12 00:00:00,137.04,C00163,China,食品饮料,24.58,523.58
INV001544,P0019,智能手表,4,2023-01-12 00:00:00,1155.91,C00163,China,电子产品,0,4623.66
INV002595,P0002,无线耳机,3,2023-01-12 00:00:00,997.74,C00270,China,电子产品,191.3,2801.91
INV000100,P0019,智能手表,2,2023-01-13 00:00:00,3600.17,C00011,China,电子产品,0,7200.35
INV000323,P0015,餐具套装,4,2023-01-13 00:00:00,214.13,C00033,China,家居家装,0,856.53
INV000324,P0016,Python编程书,1,2023-01-13 00:00:00,58.53,C00033,China,图书音像,0,58.53
INV001606,P0003,移动电源,3,2023-01-13 00:00:00,139.88,C00169,China,电子产品,9.88,409.75
INV001607,P0004,男士衬衫,4,2023-01-13 00:00:00,203.11,C00169,China,服装鞋帽,16.8,795.63
INV001608,P0010,茶叶,2,2023-01-13 00:00:00,118.02,C00169,China,食品饮料,18.75,217.29
INV001609,P0001,笔记本电脑,1,2023-01-13 00:00:00,5138.63,C00169,China,电子产品,0,5138.63
INV002147,P0004,男士衬衫,1,2023-01-13 00:00:00,256.09,C00221,China,服装鞋帽,0,256.09
INV002148,P0010,茶叶,2,2023-01-13 00:00:00,131.98,C00221,China,食品饮料,0,263.96
INV002243,P0017,商业分析书,2,2023-01-13 00:00:00,53.0,C00229,China,图书音像,2.73,103.27
INV002477,P0016,Python编程书,3,2023-01-13 00:00:00,72.68,C00256,China,图书音像,6.24,211.82
INV002478,P0000,手机,3,2023-01-13 00:00:00,2877.63,C00256,China,电子产品,0,8632.9
INV002479,P0015,餐具套装,3,2023-01-13 00:00:00,205.1,C00256,China,家居家装,0,615.3
INV002565,P0011,巧克力,1,2023-01-13 00:00:00,120.69,C00268,China,食品饮料,8.21,112.48
INV002566,P0002,无线耳机,2,2023-01-13 00:00:00,1040.14,C00268,China,电子产品,0,2080.27
INV002567,P0008,咖啡豆,2,2023-01-13 00:00:00,149.92,C00268,China,食品饮料,0,299.85
INV002568,P0013,床上四件套,1,2023-01-13 00:00:00,782.68,C00268,China,家居家装,0,782.68
INV000057,P0003,移动电源,4,2023-01-14 00:00:00,167.68,C00008,China,电子产品,0,670.72
INV000058,P0011,巧克力,2,2023-01-14 00:00:00,56.98,C00008,China,食品饮料,0,113.96
INV000127,P0008,咖啡豆,2,2023-01-14 00:00:00,66.17,C00014,China,食品饮料,0,132.34
INV000128,P0002,无线耳机,2,2023-01-14 00:00:00,423.06,C00014,China,电子产品,0,846.11
INV000547,P0009,坚果礼盒,1,2023-01-14 00:00:00,177.27,C00058,China,食品饮料,0,177.27
INV000548,P0014,沙发,1,2023-01-14 00:00:00,4172.09,C00058,China,家居家装,0,4172.09
INV000549,P0008,咖啡豆,2,2023-01-14 00:00:00,120.56,C00058,China,食品饮料,12.46,228.66
INV000550,P0003,移动电源,1,2023-01-14 00:00:00,303.98,C00058,China,电子产品,60.37,243.61
INV001117,P0014,沙发,2,2023-01-14 00:00:00,6361.36,C00123,China,家居家装,0,12722.72
INV001118,P0008,咖啡豆,2,2023-01-14 00:00:00,214.39,C00123,China,食品饮料,0,428.78
INV001119,P0000,手机,2,2023-01-14 00:00:00,9672.26,C00123,China,电子产品,0,19344.53
INV001120,P0013,床上四件套,4,2023-01-14 00:00:00,976.89,C00123,China,家居家装,117.81,3789.75
INV001270,P0008,咖啡豆,4,2023-01-14 00:00:00,49.3,C00140,China,食品饮料,0,197.21
INV001271,P0009,坚果礼盒,2,2023-01-14 00:00:00,74.65,C00140,China,食品饮料,0,149.3
INV002811,P0003,移动电源,3,2023-01-14 00:00:00,425.61,C00298,China,电子产品,0,1276.83
INV002812,P0009,坚果礼盒,4,2023-01-14 00:00:00,311.8,C00298,China,食品饮料,0,1247.21
INV002813,P0004,男士衬衫,4,2023-01-14 00:00:00,662.84,C00298,China,服装鞋帽,0,2651.35
INV002814,P0018,蓝牙音箱,4,2023-01-14 00:00:00,642.75,C00298,China,电子产品,0,2570.99
INV000787,P0016,Python编程书,4,2023-01-15 00:00:00,54.8,C00078,China,图书音像,0,219.22
INV000788,P0013,床上四件套,4,2023-01-15 00:00:00,251.98,C00078,China,家居家装,0,1007.93
INV000789,P0011,巧克力,1,2023-01-15 00:00:00,44.25,C00078,China,食品饮料,7.3,36.95
INV000790,P0001,笔记本电脑,1,2023-01-15 00:00:00,4358.84,C00078,China,电子产品,0,4358.84
INV001112,P0015,餐具套装,4,2023-01-15 00:00:00,166.86,C00121,China,家居家装,0,667.43
INV002132,P0008,咖啡豆,2,2023-01-15 00:00:00,99.57,C00220,China,食品饮料,11.54,187.59
INV002133,P0006,运动鞋,1,2023-01-15 00:00:00,610.27,C00220,China,服装鞋帽,0,610.27
INV002327,P0003,移动电源,2,2023-01-15 00:00:00,361.28,C00239,China,电子产品,0,722.56
INV002328,P0019,智能手表,4,2023-01-15 00:00:00,2217.85,C00239,China,电子产品,0,8871.39
INV002329,P0017,商业分析书,2,2023-01-15 00:00:00,163.82,C00239,China,图书音像,0,327.64
INV002330,P0009,坚果礼盒,2,2023-01-15 00:00:00,202.31,C00239,China,食品饮料,0,404.62
INV002498,P0012,台灯,3,2023-01-15 00:00:00,215.67,C00259,China,家居家装,0,647.0
INV002499,P0018,蓝牙音箱,3,2023-01-15 00:00:00,375.09,C00259,China,电子产品,38.15,1087.13
INV000000,P0004,男士衬衫,1,2023-01-16 00:00:00,219.93,C00001,China,服装鞋帽,14.09,205.84
INV000001,P0003,移动电源,2,2023-01-16 00:00:00,143.92,C00001,China,电子产品,11.49,276.36
INV000245,P0014,沙发,3,2023-01-16 00:00:00,5140.62,C00026,China,家居家装,572.23,14849.63
INV000246,P0016,Python编程书,3,2023-01-16 00:00:00,162.14,C00026,China,图书音像,23.45,462.96
INV000247,P0018,蓝牙音箱,3,2023-01-16 00:00:00,480.24,C00026,China,电子产品,72.88,1367.83
INV000248,P0005,女士连衣裙,3,2023-01-16 00:00:00,666.97,C00026,China,服装鞋帽,0,2000.9
INV000388,P0012,台灯,4,2023-01-16 00:00:00,114.67,C00039,China,家居家装,20.59,438.09
INV000443,P0019,智能手表,2,2023-01-16 00:00:00,718.38,C00043,China,电子产品,0,1436.76
INV000444,P0006,运动鞋,3,2023-01-16 00:00:00,368.28,C00043,China,服装鞋帽,0,1104.85
INV000445,P0014,沙发,3,2023-01-16 00:00:00,1705.32,C00043,China,家居家装,0,5115.96
INV000446,P0003,移动电源,2,2023-01-16 00:00:00,109.96,C00043,China,电子产品,0,219.91
INV000731,P0010,茶叶,4,2023-01-16 00:00:00,133.58,C00072,China,食品饮料,0,534.3
INV001019,P0015,餐具套装,1,2023-01-16 00:00:00,165.46,C00108,China,家居家装,0,165.46
INV001020,P0012,台灯,4,2023-01-16 00:00:00,96.05,C00108,China,家居家装,0,384.19
INV001350,P0016,Python编程书,2,2023-01-16 00:00:00,56.87,C00147,China,图书音像,0,113.73
INV001351,P0013,床上四件套,4,2023-01-16 00:00:00,296.73,C00147,China,家居家装,0,1186.9
INV001747,P0000,手机,4,2023-01-16 00:00:00,6366.35,C00182,China,电子产品,1028.38,24437.02
INV002157,P0011,巧克力,1,2023-01-16 00:00:00,124.64,C00222,China,食品饮料,0,124.64
INV002158,P0010,茶叶,1,2023-01-16 00:00:00,289.17,C00222,China,食品饮料,22.61,266.56
INV002159,P0016,Python编程书,2,2023-01-16 00:00:00,151.05,C00222,China,图书音像,16.25,285.85
INV002224,P0010,茶叶,3,2023-01-16 00:00:00,108.87,C00226,China,食品饮料,0,326.6
INV002225,P0009,坚果礼盒,3,2023-01-16 00:00:00,85.1,C00226,China,食品饮料,0,255.3
INV002226,P0014,沙发,2,2023-01-16 00:00:00,1950.23,C00226,China,家居家装,354.99,3545.47
INV002424,P0005,女士连衣裙,3,2023-01-16 00:00:00,347.29,C00250,China,服装鞋帽,0,1041.88
INV002425,P0012,台灯,2,2023-01-16 00:00:00,118.57,C00250,China,家居家装,17.82,219.33
INV002426,P0007,背包,4,2023-01-16 00:00:00,207.24,C00250,China,服装鞋帽,0,828.97
INV002718,P0004,男士衬衫,3,2023-01-16 00:00:00,416.14,C00285,China,服装鞋帽,0,1248.42
INV002719,P0003,移动电源,3,2023-01-16 00:00:00,270.56,C00285,China,电子产品,38.81,772.87
INV002720,P0017,商业分析书,1,2023-01-16 00:00:00,147.95,C00285,China,图书音像,0,147.95
INV002721,P0016,Python编程书,1,2023-01-16 00:00:00,124.45,C00285,China,图书音像,0,124.45
INV000053,P0002,无线耳机,4,2023-01-17 00:00:00,416.03,C00007,China,电子产品,41.62,1622.51
INV000236,P0005,女士连衣裙,1,2023-01-17 00:00:00,198.13,C00024,China,服装鞋帽,0,198.13
INV000237,P0004,男士衬衫,4,2023-01-17 00:00:00,157.58,C00024,China,服装鞋帽,0,630.31
INV001186,P0002,无线耳机,3,2023-01-17 00:00:00,331.63,C00132,China,电子产品,0,994.88
INV002323,P0003,移动电源,3,2023-01-17 00:00:00,139.13,C00238,China,电子产品,14.07,403.31
INV002324,P0008,咖啡豆,4,2023-01-17 00:00:00,59.68,C00238,China,食品饮料,0,238.72
INV002325,P0016,Python编程书,1,2023-01-17 00:00:00,58.5,C00238,China,图书音像,0,58.5
INV002326,P0010,茶叶,3,2023-01-17 00:00:00,92.28,C00238,China,食品饮料,0,276.85
INV002620,P0002,无线耳机,1,2023-01-17 00:00:00,346.95,C00272,China,电子产品,24.28,322.67
INV002621,P0005,女士连衣裙,4,2023-01-17 00:00:00,220.31,C00272,China,服装鞋帽,37.06,844.2
INV002622,P0013,床上四件套,1,2023-01-17 00:00:00,245.39,C00272,China,家居家装,31.8,213.59
INV002623,P0003,移动电源,3,2023-01-17 00:00:00,131.05,C00272,China,电子产品,24.65,368.5
INV000113,P0016,Python编程书,2,2023-01-18 00:00:00,105.36,C00012,China,图书音像,0,210.72
INV000950,P0006,运动鞋,2,2023-01-18 00:00:00,437.75,C00093,China,服装鞋帽,0,875.49
INV000951,P0003,移动电源,3,2023-01-18 00:00:00,158.49,C00093,China,电子产品,0,475.48
INV001169,P0002,无线耳机,3,2023-01-18 00:00:00,329.16,C00130,China,电子产品,0,987.49
INV001170,P0011,巧克力,1,2023-01-18 00:00:00,36.03,C00130,China,食品饮料,0,36.03
INV001171,P0015,餐具套装,1,2023-01-18 00:00:00,171.27,C00130,China,家居家装,10.07,161.2
INV001172,P0013,床上四件套,3,2023-01-18 00:00:00,212.12,C00130,China,家居家装,0,636.36
INV002785,P0013,床上四件套,3,2023-01-18 00:00:00,292.0,C00293,China,家居家装,0,875.99
INV002786,P0002,无线耳机,3,2023-01-18 00:00:00,470.15,C00293,China,电子产品,43.62,1366.83
INV002787,P0016,Python编程书,2,2023-01-18 00:00:00,74.2,C00293,China,图书音像,0,148.39
INV000018,P0005,女士连衣裙,2,2023-01-19 00:00:00,414.85,C00005,China,服装鞋帽,59.65,770.04
INV000019,P0014,沙发,2,2023-01-19 00:00:00,2897.17,C00005,China,家居家装,0,5794.33
INV000020,P0000,手机,1,2023-01-19 00:00:00,4233.61,C00005,China,电子产品,0,4233.61
INV000021,P0008,咖啡豆,1,2023-01-19 00:00:00,100.32,C00005,China,食品饮料,0,100.32
INV000535,P0019,智能手表,3,2023-01-19 00:00:00,807.81,C00056,China,电子产品,0,2423.44
INV000536,P0007,背包,2,2023-01-19 00:00:00,159.13,C00056,China,服装鞋帽,0,318.26
INV000537,P0014,沙发,2,2023-01-19 00:00:00,1703.43,C00056,China,家居家装,0,3406.85
INV001003,P0017,商业分析书,1,2023-01-19 00:00:00,52.93,C00106,China,图书音像,3.56,49.38
INV001004,P0010,茶叶,1,2023-01-19 00:00:00,83.84,C00106,China,食品饮料,0,83.84
INV001005,P0014,沙发,3,2023-01-19 00:00:00,1603.02,C00106,China,家居家装,0,4809.05
INV001145,P0005,女士连衣裙,2,2023-01-19 00:00:00,237.82,C00126,China,服装鞋帽,0,475.63
INV001146,P0019,智能手表,2,2023-01-19 00:00:00,659.39,C00126,China,电子产品,131.26,1187.51
INV001147,P0017,商业分析书,2,2023-01-19 00:00:00,53.27,C00126,China,图书音像,0,106.54
INV001148,P0009,坚果礼盒,2,2023-01-19 00:00:00,71.12,C00126,China,食品饮料,6.94,135.3
INV002036,P0019,智能手表,3,2023-01-19 00:00:00,923.11,C00207,China,电子产品,162.3,2607.04
INV002037,P0003,移动电源,2,2023-01-19 00:00:00,137.95,C00207,China,电子产品,0,275.91
INV002038,P0007,背包,2,2023-01-19 00:00:00,171.83,C00207,China,服装鞋帽,0,343.65
INV001102,P0013,床上四件套,2,2023-01-20 00:00:00,280.04,C00120,China,家居家装,0,560.08
INV001103,P0000,手机,1,2023-01-20 00:00:00,3062.17,C00120,China,电子产品,0,3062.17
INV001104,P0017,商业分析书,2,2023-01-20 00:00:00,73.52,C00120,China,图书音像,0,147.03
INV001166,P0015,餐具套装,2,2023-01-20 00:00:00,202.17,C00129,China,家居家装,18.07,386.27
INV001167,P0017,商业分析书,4,2023-01-20 00:00:00,68.38,C00129,China,图书音像,0,273.52
INV001168,P0014,沙发,3,2023-01-20 00:00:00,2202.66,C00129,China,家居家装,0,6607.99
INV001242,P0013,床上四件套,3,2023-01-20 00:00:00,813.37,C00137,China,家居家装,0,2440.11
INV001625,P0016,Python编程书,3,2023-01-20 00:00:00,45.92,C00172,China,图书音像,0,137.76
INV002692,P0000,手机,2,2023-01-20 00:00:00,4483.91,C00281,China,电子产品,745.5,8222.32
INV002693,P0010,茶叶,2,2023-01-20 00:00:00,168.08,C00281,China,食品饮料,0,336.16
INV002694,P0015,餐具套装,2,2023-01-20 00:00:00,328.79,C00281,China,家居家装,0,657.58
INV001274,P0006,运动鞋,1,2023-01-21 00:00:00,935.77,C00142,China,服装鞋帽,93.51,842.26
INV001275,P0012,台灯,2,2023-01-21 00:00:00,268.7,C00142,China,家居家装,0,537.4
INV001276,P0013,床上四件套,1,2023-01-21 00:00:00,611.13,C00142,China,家居家装,0,611.13
INV001277,P0008,咖啡豆,4,2023-01-21 00:00:00,145.31,C00142,China,食品饮料,0,581.23
INV001618,P0017,商业分析书,2,2023-01-21 00:00:00,52.21,C00171,China,图书音像,0,104.42
