user_id,recency,frequency,monetary,tenure_days,avg_session_duration_min,total_page_views,cart_add_count,wishlist_count,coupon_usage_count,days_since_last_login,days_since_last_purchase,days_since_last_cart,avg_purchase_value,monthly_purchase_frequency,days_per_purchase,cart_conversion_rate,browse_to_buy_rate,customer_segment,preferred_category,registration_channel,age_group,city_tier,device_type,member_level,churn_risk_level,churned
U000011,165,18,15757.03,87,40.1,80,3,5,8,92,165,264,875.39,6.21,4.8,6.0,2.25,流失客户,电子产品,H5,36-45,一线城市,Android,VIP,中风险,1
U000012,483,62,4305.64,848,27.2,411,37,26,5,319,483,337,69.45,2.19,13.7,1.676,1.509,高价值客户,图书音像,Web,36-45,三线城市,iOS,银卡,中风险,1
U000013,395,17,2758.82,421,23.8,470,32,21,13,76,395,310,162.28,1.21,24.8,0.531,0.362,新客户,食品饮料,线下门店,55+,其他,iOS,银卡,高风险,1
U000014,516,16,2375.09,273,40.6,281,0,28,20,220,516,267,148.44,1.76,17.1,0,0.569,流失客户,运动户外,APP,55+,三线城市,Android,银卡,高风险,1
U000015,494,49,8795.42,207,19.4,135,30,24,7,42,494,145,179.5,7.1,4.2,1.633,3.63,高价值客户,美妆个护,小程序,26-35,一线城市,iOS,金卡,中风险,0
U000016,121,67,229.49,427,31.1,166,26,11,3,79,121,218,3.43,4.71,6.4,2.577,4.036,VIP客户,图书音像,小程序,55+,三线城市,Web,普通,中风险,1
U000017,407,27,10360.04,995,8.5,291,35,15,8,157,407,295,383.71,0.81,36.9,0.771,0.928,沉睡客户,美妆个护,H5,26-35,一线城市,Android,VIP,中风险,1
U000018,166,13,5400.73,827,35.5,415,35,19,1,82,166,199,415.44,0.47,63.6,0.371,0.313,VIP客户,电子产品,APP,26-35,三线城市,其他,金卡,中风险,1
U000019,270,29,9302.34,84,32.7,481,25,19,20,266,270,146,320.77,10.36,2.9,1.16,0.603,VIP客户,电子产品,Web,46-55,三线城市,iOS,金卡,中风险,1
U000020,531,37,4908.93,1052,23.5,123,39,5,1,184,531,122,132.67,1.06,28.4,0.949,3.008,VIP客户,电子产品,Web,18-25,二线城市,其他,银卡,中风险,1
U000021,405,52,14672.7,1067,1.2,365,4,29,2,281,405,145,282.17,1.46,20.5,13.0,1.425,VIP客户,运动户外,小程序,36-45,新一线城市,Android,VIP,高风险,1
U000022,466,52,14393.92,541,8.3,264,6,17,2,257,466,150,276.81,2.88,10.4,8.667,1.97,沉睡客户,服装鞋帽,社交电商,36-45,其他,Web,VIP,中风险,1
U000023,387,73,12116.57,505,34.2,497,49,14,14,300,387,14,165.98,4.34,6.9,1.49,1.469,流失客户,服装鞋帽,小程序,18-25,三线城市,Android,VIP,中风险,1
U000024,236,41,10340.03,730,23.5,9,44,26,8,127,236,147,252.2,1.68,17.8,0.932,45.556,新客户,美妆个护,H5,36-45,一线城市,Android,VIP,中风险,1
U000025,363,28,22363.19,558,8.6,387,43,29,6,255,363,102,798.69,1.51,19.9,0.651,0.724,活跃客户,家居家装,小程序,26-35,新一线城市,Android,VIP,中风险,0
U000026,365,20,19484.52,252,41.4,351,42,15,19,3,365,277,974.23,2.38,12.6,0.476,0.57,新客户,母婴用品,小程序,55+,二线城市,其他,VIP,中风险,0
U000027,282,63,4612.65,1053,13.0,118,48,18,4,27,282,269,73.22,1.79,16.7,1.312,5.339,流失客户,母婴用品,社交电商,18-25,其他,Web,银卡,中风险,1
U000028,179,59,24413.85,1068,21.0,357,0,0,6,194,179,297,413.79,1.66,18.1,0,1.653,新客户,运动户外,小程序,55+,二线城市,Android,VIP,中风险,0
U000029,243,35,11810.07,709,16.8,260,27,6,13,358,243,190,337.43,1.48,20.3,1.296,1.346,沉睡客户,美妆个护,小程序,46-55,新一线城市,Android,VIP,中风险,0
U000030,235,13,18034.35,489,25.2,443,24,6,4,76,235,242,1387.26,0.8,37.6,0.542,0.293,新客户,食品饮料,线下门店,46-55,新一线城市,Web,VIP,中风险,0
U000031,308,33,14075.35,104,18.2,358,10,1,6,130,308,243,426.53,9.52,3.2,3.3,0.922,VIP客户,服装鞋帽,线下门店,36-45,二线城市,Web,VIP,中风险,1
U000032,264,45,544.89,255,16.1,352,38,6,18,294,264,332,12.11,5.29,5.7,1.184,1.278,VIP客户,食品饮料,小程序,36-45,二线城市,其他,铜卡,中风险,0
U000033,458,11,9557.72,593,21.1,494,9,27,5,327,458,172,868.88,0.56,53.9,1.222,0.223,流失客户,美妆个护,APP,18-25,新一线城市,Web,金卡,高风险,1
U000034,234,41,7956.11,603,32.1,314,41,12,8,227,234,185,194.05,2.04,14.7,1.0,1.306,VIP客户,母婴用品,线下门店,26-35,新一线城市,iOS,金卡,中风险,1
U000035,241,33,23513.91,170,9.9,208,6,3,2,242,241,280,712.54,5.82,5.2,5.5,1.587,新客户,电子产品,线下门店,55+,一线城市,iOS,VIP,中风险,1
U000036,160,11,16388.08,805,14.3,131,47,9,14,320,160,64,1489.83,0.41,73.2,0.234,0.84,活跃客户,食品饮料,APP,18-25,二线城市,Web,VIP,中风险,0
U000037,479,70,23374.7,918,6.5,490,44,17,5,302,479,305,333.92,2.29,13.1,1.591,1.429,流失客户,美妆个护,社交电商,55+,二线城市,Web,VIP,中风险,1
U000038,233,12,11074.41,756,18.8,84,19,0,0,267,233,69,922.87,0.48,63.0,0.632,1.429,沉睡客户,图书音像,线下门店,55+,一线城市,其他,VIP,中风险,0
U000039,489,39,277.86,888,36.0,310,14,25,0,280,489,191,7.12,1.32,22.8,2.786,1.258,活跃客户,美妆个护,社交电商,46-55,三线城市,Android,普通,高风险,1
U000040,168,50,20719.25,458,12.2,221,40,7,16,313,168,355,414.39,3.28,9.2,1.25,2.262,VIP客户,图书音像,小程序,55+,二线城市,其他,VIP,中风险,1
U000041,71,24,3458.77,233,28.8,321,28,8,19,251,71,96,144.12,3.09,9.7,0.857,0.748,沉睡客户,电子产品,Web,18-25,其他,iOS,银卡,低风险,1
U000042,105,37,6766.42,904,32.9,124,5,4,0,252,105,111,182.88,1.23,24.4,7.4,2.984,沉睡客户,美妆个护,小程序,46-55,二线城市,其他,金卡,中风险,0
U000043,33,43,2051.57,306,3.0,402,25,2,17,240,33,92,47.71,4.22,7.1,1.72,1.07,活跃客户,图书音像,线下门店,18-25,一线城市,Android,银卡,中风险,1
U000044,454,32,18453.59,75,9.4,381,49,3,16,340,454,106,576.67,12.8,2.3,0.653,0.84,流失客户,美妆个护,H5,36-45,二线城市,Android,VIP,中风险,1
U000045,44,71,13047.11,525,21.9,157,12,11,1,341,44,111,183.76,4.06,7.4,5.917,4.522,新客户,家居家装,H5,46-55,二线城市,iOS,VIP,低风险,0
U000046,283,75,3035.26,504,0.9,26,37,25,15,352,283,305,40.47,4.46,6.7,2.027,28.846,活跃客户,运动户外,APP,26-35,新一线城市,其他,银卡,高风险,1
U000047,94,80,8493.63,129,3.2,335,9,22,17,54,94,64,106.17,18.6,1.6,8.889,2.388,流失客户,家居家装,小程序,55+,二线城市,其他,金卡,低风险,0
U000048,22,49,8986.28,282,11.7,25,31,22,14,286,22,150,183.39,5.21,5.8,1.581,19.6,高价值客户,母婴用品,Web,55+,新一线城市,Web,金卡,低风险,0
U000049,480,36,21698.16,335,3.6,84,28,9,8,277,480,187,602.73,3.22,9.3,1.286,4.286,流失客户,电子产品,H5,55+,三线城市,Android,VIP,中风险,0
U000050,373,80,6007.72,136,29.8,280,24,6,16,349,373,254,75.1,17.65,1.7,3.333,2.857,高价值客户,食品饮料,社交电商,36-45,二线城市,其他,金卡,中风险,1
U000051,114,13,13103.85,143,2.4,485,8,5,1,103,114,54,1007.99,2.73,11.0,1.625,0.268,流失客户,家居家装,APP,18-25,其他,其他,VIP,高风险,1
U000052,502,68,15618.06,531,2.7,118,38,22,2,6,502,106,229.68,3.84,7.8,1.789,5.763,VIP客户,母婴用品,APP,46-55,一线城市,Web,VIP,中风险,1
U000053,426,48,19866.53,126,37.2,141,33,1,2,155,426,39,413.89,11.43,2.6,1.455,3.404,活跃客户,服装鞋帽,APP,26-35,其他,其他,VIP,中风险,1
U000054,539,32,14272.19,373,25.3,290,26,23,3,326,539,295,446.01,2.57,11.7,1.231,1.103,沉睡客户,母婴用品,H5,46-55,一线城市,Android,VIP,中风险,0
U000055,412,65,8470.95,330,24.3,312,28,29,11,161,412,281,130.32,5.91,5.1,2.321,2.083,沉睡客户,运动户外,线下门店,46-55,二线城市,Android,金卡,中风险,1
U000056,220,49,19154.42,527,16.5,236,28,30,12,0,220,17,390.91,2.79,10.8,1.75,2.076,沉睡客户,电子产品,社交电商,26-35,二线城市,iOS,VIP,低风险,1
U000057,228,28,21400.22,51,34.8,487,44,26,8,283,228,261,764.29,16.47,1.8,0.636,0.575,高价值客户,食品饮料,APP,18-25,三线城市,Web,VIP,中风险,1
U000058,272,47,22246.15,518,10.9,420,19,2,18,204,272,291,473.32,2.72,11.0,2.474,1.119,活跃客户,服装鞋帽,H5,36-45,三线城市,Android,VIP,中风险,1
U000059,98,77,16074.25,83,33.0,300,24,2,1,171,98,178,208.76,27.83,1.1,3.208,2.567,流失客户,美妆个护,APP,26-35,其他,iOS,VIP,中风险,0
U000060,392,7,7654.35,91,14.7,294,9,10,16,357,392,113,1093.48,2.31,13.0,0.778,0.238,活跃客户,电子产品,H5,46-55,三线城市,iOS,金卡,高风险,1
U000061,228,56,7280.09,814,7.1,177,5,15,18,25,228,280,130.0,2.06,14.5,11.2,3.164,流失客户,图书音像,APP,46-55,其他,其他,金卡,低风险,0
U000062,134,18,12049.02,412,22.2,338,36,6,17,315,134,268,669.39,1.31,22.9,0.5,0.533,活跃客户,家居家装,APP,36-45,三线城市,Web,VIP,中风险,1
U000063,92,15,16810.1,874,16.8,102,20,11,19,335,92,12,1120.67,0.51,58.3,0.75,1.471,沉睡客户,食品饮料,小程序,55+,三线城市,Android,VIP,中风险,1
U000064,240,26,17149.71,326,34.2,441,5,3,1,124,240,317,659.6,2.39,12.5,5.2,0.59,活跃客户,图书音像,APP,36-45,一线城市,Web,VIP,中风险,1
U000065,24,43,5264.79,440,9.6,272,48,8,17,247,24,318,122.44,2.93,10.2,0.896,1.581,VIP客户,食品饮料,H5,18-25,三线城市,iOS,金卡,低风险,0
U000066,62,37,5057.37,562,2.9,340,0,2,12,338,62,138,136.69,1.98,15.2,0,1.088,VIP客户,运动户外,APP,18-25,二线城市,其他,金卡,中风险,1
U000067,390,66,24416.47,210,40.7,253,38,17,2,95,390,101,369.95,9.43,3.2,1.737,2.609,高价值客户,母婴用品,社交电商,18-25,一线城市,Android,VIP,中风险,0
U000068,313,43,12273.82,328,1.3,355,22,11,20,154,313,120,285.44,3.93,7.6,1.955,1.211,高价值客户,图书音像,APP,36-45,三线城市,iOS,VIP,高风险,1
U000069,287,29,3835.12,811,29.7,49,46,12,16,347,287,313,132.25,1.07,28.0,0.63,5.918,VIP客户,家居家装,线下门店,26-35,其他,Android,银卡,中风险,1
U000070,320,78,8265.65,276,9.7,75,37,17,6,70,320,158,105.97,8.48,3.5,2.108,10.4,VIP客户,食品饮料,线下门店,26-35,其他,Android,金卡,中风险,1
U000071,122,24,7974.06,305,32.9,396,20,28,13,210,122,155,332.25,2.36,12.7,1.2,0.606,流失客户,图书音像,Web,26-35,一线城市,Android,金卡,中风险,1
U000072,274,78,14197.73,479,27.0,123,43,0,11,40,274,352,182.02,4.89,6.1,1.814,6.341,流失客户,食品饮料,社交电商,55+,三线城市,Web,VIP,中风险,1
U000073,397,63,11872.48,342,9.1,21,26,24,0,138,397,211,188.45,5.53,5.4,2.423,30.0,活跃客户,家居家装,Web,18-25,新一线城市,其他,VIP,中风险,0
U000074,502,42,21676.03,512,19.5,402,2,19,12,160,502,201,516.1,2.46,12.2,21.0,1.045,高价值客户,电子产品,社交电商,18-25,三线城市,其他,VIP,中风险,0
U000075,44,32,12991.63,817,44.3,25,35,12,16,322,44,25,405.99,1.18,25.5,0.914,12.8,活跃客户,图书音像,线下门店,46-55,二线城市,Web,VIP,低风险,0
U000076,433,38,15347.7,118,31.2,467,9,14,20,231,433,46,403.89,9.66,3.1,4.222,0.814,VIP客户,服装鞋帽,Web,55+,其他,Android,VIP,中风险,1
U000077,332,58,671.56,936,26.8,369,12,28,14,46,332,128,11.58,1.86,16.1,4.833,1.572,沉睡客户,食品饮料,H5,18-25,一线城市,iOS,铜卡,中风险,0
U000078,372,11,13119.24,793,32.8,266,39,30,5,193,372,281,1192.66,0.42,72.1,0.282,0.414,流失客户,电子产品,Web,36-45,其他,Android,VIP,高风险,1
U000079,167,19,4512.73,112,19.2,163,46,24,14,147,167,320,237.51,5.09,5.9,0.413,1.166,活跃客户,服装鞋帽,Web,26-35,一线城市,Web,银卡,中风险,1
U000080,510,64,13610.35,18,27.6,257,15,6,18,337,510,243,212.66,106.67,0.3,4.267,2.49,流失客户,美妆个护,线下门店,18-25,其他,iOS,VIP,高风险,1
U000081,251,71,6988.92,432,2.7,80,3,20,11,18,251,74,98.44,4.93,6.1,23.667,8.875,新客户,图书音像,小程序,18-25,一线城市,iOS,金卡,中风险,1
U000082,183,21,16818.66,370,43.5,388,37,11,1,47,183,153,800.89,1.7,17.6,0.568,0.541,沉睡客户,运动户外,线下门店,18-25,三线城市,iOS,VIP,低风险,1
U000083,138,16,17380.75,569,15.1,216,33,6,6,313,138,29,1086.3,0.84,35.6,0.485,0.741,新客户,服装鞋帽,线下门店,55+,二线城市,其他,VIP,中风险,1
U000084,325,34,13158.51,731,41.8,319,36,15,16,323,325,254,387.02,1.4,21.5,0.944,1.066,流失客户,食品饮料,社交电商,26-35,二线城市,Android,VIP,中风险,1
U000085,25,60,15655.25,248,33.3,111,39,13,13,23,25,170,260.92,7.26,4.1,1.538,5.405,沉睡客户,家居家装,APP,26-35,二线城市,Web,VIP,低风险,0
U000086,316,39,12691.91,670,34.6,63,43,10,10,202,316,291,325.43,1.75,17.2,0.907,6.19,高价值客户,电子产品,Web,26-35,二线城市,Web,VIP,中风险,0
U000087,491,61,19941.5,285,21.9,326,29,28,17,171,491,236,326.91,6.42,4.7,2.103,1.871,流失客户,电子产品,社交电商,36-45,其他,Web,VIP,中风险,1
U000088,20,27,14456.07,686,36.1,459,50,11,2,76,20,143,535.41,1.18,25.4,0.54,0.588,新客户,运动户外,线下门店,55+,新一线城市,其他,VIP,低风险,0
U000089,120,40,17646.39,651,32.1,144,26,2,15,121,120,190,441.16,1.84,16.3,1.538,2.778,流失客户,图书音像,Web,55+,二线城市,Android,VIP,中风险,1
U000090,39,26,22838.18,915,23.0,414,30,28,16,78,39,97,878.39,0.85,35.2,0.867,0.628,沉睡客户,母婴用品,H5,55+,二线城市,Web,VIP,低风险,0
U000091,101,67,16934.1,278,9.6,23,29,12,16,59,101,2,252.75,7.23,4.1,2.31,29.13,沉睡客户,电子产品,H5,55+,一线城市,Web,VIP,低风险,0
U000092,48,14,13038.41,646,1.5,393,19,20,6,164,48,102,931.32,0.65,46.1,0.737,0.356,活跃客户,图书音像,小程序,55+,二线城市,其他,VIP,中风险,1
U000093,280,20,3979.53,241,1.2,323,35,16,3,105,280,277,198.98,2.49,12.1,0.571,0.619,沉睡客户,运动户外,小程序,26-35,二线城市,Android,银卡,高风险,1
U000094,176,10,7818.87,700,24.6,30,8,0,15,345,176,25,781.89,0.43,70.0,1.25,3.333,新客户,美妆个护,APP,18-25,三线城市,其他,金卡,中风险,1
U000095,457,79,8922.83,687,36.9,370,48,21,17,40,457,238,112.95,3.45,8.7,1.646,2.135,高价值客户,食品饮料,APP,46-55,一线城市,其他,金卡,中风险,1
U000096,477,61,5830.77,465,6.9,463,39,8,11,200,477,93,95.59,3.94,7.6,1.564,1.317,VIP客户,运动户外,小程序,46-55,三线城市,iOS,金卡,中风险,1
U000097,116,45,11992.37,356,13.1,183,38,18,4,260,116,52,266.5,3.79,7.9,1.184,2.459,流失客户,服装鞋帽,小程序,55+,一线城市,Web,VIP,中风险,0
U000098,411,76,10365.38,506,24.9,251,24,2,10,106,411,355,136.39,4.51,6.7,3.167,3.028,高价值客户,美妆个护,线下门店,55+,二线城市,Android,VIP,中风险,1
U000099,80,74,20926.87,241,26.9,242,20,17,3,227,80,90,282.8,9.21,3.3,3.7,3.058,沉睡客户,美妆个护,APP,55+,一线城市,其他,VIP,低风险,1
U000100,63,12,5479.41,291,40.0,467,48,20,0,75,63,338,456.62,1.24,24.2,0.25,0.257,活跃客户,母婴用品,社交电商,36-45,三线城市,其他,金卡,中风险,1
U000101,325,39,14278.4,630,41.4,484,27,22,11,45,325,298,366.11,1.86,16.2,1.444,0.806,新客户,美妆个护,Web,36-45,一线城市,Web,VIP,中风险,0
U000102,55,1,17598.69,742,5.4,149,1,7,13,359,55,302,17598.69,0.04,742.0,1.0,0.067,流失客户,运动户外,H5,46-55,三线城市,其他,VIP,中风险,1
U000103,217,23,11898.04,392,25.2,436,23,26,13,78,217,147,517.31,1.76,17.0,1.0,0.528,VIP客户,食品饮料,Web,18-25,一线城市,iOS,VIP,中风险,1
U000104,499,56,24375.63,285,4.3,333,26,27,14,356,499,309,435.28,5.89,5.1,2.154,1.682,流失客户,食品饮料,线下门店,55+,三线城市,其他,VIP,中风险,1
U000105,232,24,10648.06,22,26.2,438,46,7,16,137,232,210,443.67,32.73,0.9,0.522,0.548,高价值客户,运动户外,APP,18-25,其他,其他,VIP,中风险,0
U000106,116,75,12064.25,170,6.8,379,33,27,8,238,116,264,160.86,13.24,2.3,2.273,1.979,新客户,服装鞋帽,Web,46-55,一线城市,Web,VIP,中风险,0
U000107,352,69,19474.25,967,20.7,468,30,18,10,215,352,180,282.24,2.14,14.0,2.3,1.474,沉睡客户,图书音像,Web,18-25,其他,Web,VIP,中风险,0
U000108,267,8,15751.04,353,26.0,341,18,25,19,13,267,146,1968.88,0.68,44.1,0.444,0.235,流失客户,服装鞋帽,Web,55+,一线城市,Web,VIP,中风险,1
U000109,288,36,21453.57,36,33.5,314,11,29,18,77,288,337,595.93,30.0,1.0,3.273,1.146,流失客户,运动户外,Web,36-45,新一线城市,其他,VIP,中风险,1
U000110,34,44,24602.59,304,27.0,425,9,26,15,211,34,196,559.15,4.34,6.9,4.889,1.035,活跃客户,母婴用品,H5,26-35,新一线城市,Web,VIP,低风险,1
U000111,271,15,1360.45,957,18.2,159,30,23,17,119,271,194,90.7,0.47,63.8,0.5,0.943,VIP客户,美妆个护,线下门店,36-45,新一线城市,其他,铜卡,高风险,1
U000112,13,37,23184.2,926,17.5,166,33,21,1,49,13,272,626.6,1.2,25.0,1.121,2.229,VIP客户,运动户外,线下门店,55+,二线城市,Web,VIP,低风险,0
U000113,101,33,16375.86,808,21.0,350,47,7,18,99,101,266,496.24,1.23,24.5,0.702,0.943,沉睡客户,食品饮料,小程序,55+,一线城市,iOS,VIP,中风险,0
U000114,13,53,2487.58,219,31.0,184,14,23,9,128,13,98,46.94,7.26,4.1,3.786,2.88,新客户,电子产品,社交电商,18-25,一线城市,Android,银卡,低风险,0
U000115,125,16,2205.34,273,17.2,396,41,18,5,56,125,356,137.83,1.76,17.1,0.39,0.404,活跃客户,图书音像,小程序,46-55,一线城市,其他,银卡,低风险,0
U000116,284,55,17320.93,669,12.0,404,4,8,1,195,284,198,314.93,2.47,12.2,13.75,1.361,沉睡客户,电子产品,小程序,36-45,新一线城市,其他,VIP,中风险,1
U000117,206,79,9846.23,1014,5.3,281,49,13,6,314,206,329,124.64,2.34,12.8,1.612,2.811,新客户,母婴用品,H5,36-45,一线城市,iOS,金卡,中风险,1
U000118,257,58,518.18,1026,7.1,332,0,29,1,340,257,199,8.93,1.7,17.7,0,1.747,沉睡客户,食品饮料,H5,36-45,三线城市,iOS,铜卡,中风险,1
U000119,503,62,10929.64,150,24.5,6,24,30,15,62,503,290,176.28,12.4,2.4,2.583,103.333,高价值客户,运动户外,小程序,36-45,三线城市,iOS,VIP,中风险,1
U000120,93,47,13388.93,703,4.1,240,48,24,9,331,93,103,284.87,2.01,15.0,0.979,1.958,活跃客户,电子产品,线下门店,26-35,二线城市,其他,VIP,中风险,0
U000121,368,63,2167.32,903,33.2,76,2,6,0,303,368,122,34.4,2.09,14.3,31.5,8.289,流失客户,美妆个护,APP,55+,二线城市,其他,银卡,中风险,1
U000122,461,3,974.21,121,15.5,374,2,12,3,108,461,334,324.74,0.74,40.3,1.5,0.08,VIP客户,母婴用品,H5,55+,新一线城市,Android,铜卡,高风险,1
U000123,74,5,18399.72,1008,29.6,246,39,1,7,359,74,332,3679.94,0.15,201.6,0.128,0.203,活跃客户,电子产品,Web,18-25,二线城市,iOS,VIP,中风险,1
U000124,175,76,1645.74,224,5.6,309,39,7,2,103,175,218,21.65,10.18,2.9,1.949,2.46,沉睡客户,美妆个护,小程序,18-25,其他,Android,铜卡,中风险,1
U000125,219,6,14847.48,694,3.3,145,9,24,13,86,219,356,2474.58,0.26,115.7,0.667,0.414,沉睡客户,食品饮料,线下门店,26-35,其他,iOS,VIP,高风险,1
U000126,137,13,19786.75,777,35.1,13,31,2,0,3,137,91,1522.06,0.5,59.8,0.419,10.0,新客户,图书音像,线下门店,46-55,新一线城市,Android,VIP,低风险,1
U000127,278,67,11287.96,496,42.2,317,44,1,19,92,278,255,168.48,4.05,7.4,1.523,2.114,高价值客户,服装鞋帽,H5,36-45,二线城市,其他,VIP,中风险,1
U000128,242,25,2981.82,1092,44.0,321,23,27,17,259,242,112,119.27,0.69,43.7,1.087,0.779,流失客户,家居家装,小程序,18-25,新一线城市,iOS,银卡,中风险,0
U000129,486,64,4449.28,95,2.9,191,18,6,13,128,486,171,69.52,20.21,1.5,3.556,3.351,高价值客户,母婴用品,APP,18-25,一线城市,Android,银卡,高风险,1
U000130,162,4,12152.28,244,3.7,125,46,14,18,296,162,166,3038.07,0.49,61.0,0.087,0.32,流失客户,家居家装,H5,36-45,新一线城市,iOS,VIP,高风险,1
U000131,334,30,2496.7,851,39.2,197,14,2,15,299,334,248,83.22,1.06,28.4,2.143,1.523,新客户,美妆个护,Web,26-35,其他,其他,银卡,中风险,1
U000132,383,18,11470.62,404,28.6,143,12,10,4,16,383,354,637.26,1.34,22.4,1.5,1.259,高价值客户,电子产品,小程序,26-35,一线城市,其他,VIP,中风险,1
U000133,176,44,5535.35,611,27.4,409,50,20,19,87,176,295,125.8,2.16,13.9,0.88,1.076,高价值客户,家居家装,APP,46-55,其他,其他,金卡,中风险,0
U000134,222,76,11863.55,954,12.9,378,27,23,7,126,222,167,156.1,2.39,12.6,2.815,2.011,流失客户,家居家装,社交电商,26-35,其他,iOS,VIP,中风险,1
U000135,46,6,24782.27,1039,2.0,276,25,15,3,231,46,253,4130.38,0.17,173.2,0.24,0.217,活跃客户,服装鞋帽,社交电商,18-25,三线城市,Android,VIP,中风险,1
U000136,303,31,16208.62,192,1.2,347,19,5,14,292,303,298,522.86,4.84,6.2,1.632,0.893,新客户,母婴用品,线下门店,26-35,三线城市,Android,VIP,高风险,1
U000137,380,60,17612.36,9,38.8,41,24,28,10,271,380,16,293.54,200.0,0.1,2.5,14.634,沉睡客户,美妆个护,小程序,55+,其他,Android,VIP,高风险,1
U000138,83,80,22027.14,119,23.4,470,43,11,1,56,83,196,275.34,20.17,1.5,1.86,1.702,沉睡客户,母婴用品,社交电商,18-25,二线城市,Web,VIP,低风险,0
U000139,69,72,17747.96,426,6.7,176,15,17,3,332,69,244,246.5,5.07,5.9,4.8,4.091,VIP客户,家居家装,H5,26-35,二线城市,Web,VIP,低风险,0
U000140,516,55,6964.78,136,17.1,236,31,16,16,62,516,240,126.63,12.13,2.5,1.774,2.331,VIP客户,图书音像,线下门店,55+,二线城市,iOS,金卡,中风险,1
U000141,469,12,2050.25,373,13.3,494,4,3,5,141,469,57,170.85,0.97,31.1,3.0,0.243,VIP客户,食品饮料,线下门店,26-35,新一线城市,iOS,银卡,高风险,1
U000142,301,54,24240.89,277,21.6,220,28,23,20,10,301,149,448.91,5.85,5.1,1.929,2.455,活跃客户,服装鞋帽,APP,26-35,其他,Web,VIP,中风险,0
U000143,352,42,12179.4,1092,38.0,232,29,9,18,67,352,156,289.99,1.15,26.0,1.448,1.81,活跃客户,图书音像,Web,46-55,二线城市,Web,VIP,中风险,0
U000144,49,19,8860.37,940,43.1,321,10,22,17,146,49,93,466.34,0.61,49.5,1.9,0.592,活跃客户,食品饮料,Web,26-35,一线城市,iOS,金卡,低风险,0
U000145,130,57,6547.16,384,9.6,367,2,21,10,176,130,75,114.86,4.45,6.7,28.5,1.553,沉睡客户,母婴用品,社交电商,26-35,其他,Web,金卡,中风险,1
U000146,26,52,23280.17,304,42.7,480,20,4,0,279,26,259,447.7,5.13,5.8,2.6,1.083,沉睡客户,图书音像,线下门店,36-45,其他,Android,VIP,低风险,0
U000147,453,44,17244.22,987,40.6,76,43,17,3,157,453,12,391.91,1.34,22.4,1.023,5.789,流失客户,家居家装,线下门店,36-45,一线城市,Web,VIP,中风险,1
U000148,200,75,13184.52,576,9.2,47,34,27,14,346,200,343,175.79,3.91,7.7,2.206,15.957,新客户,美妆个护,Web,46-55,二线城市,iOS,VIP,中风险,0
U000149,370,51,3741.25,882,16.9,195,0,9,11,179,370,157,73.36,1.73,17.3,0,2.615,流失客户,服装鞋帽,Web,46-55,三线城市,其他,银卡,中风险,1
U000150,435,54,3532.21,183,6.9,160,30,27,16,171,435,33,65.41,8.85,3.4,1.8,3.375,高价值客户,美妆个护,APP,18-25,三线城市,Web,银卡,中风险,1
U000151,474,73,18893.33,287,9.4,431,24,9,17,251,474,21,258.81,7.63,3.9,3.042,1.694,沉睡客户,图书音像,线下门店,55+,三线城市,Android,VIP,中风险,1
